age,employment_tenure,avg_monthly_income,savings_balance,monthly_spend_ratio,num_past_defaults,late_payments_6m,bureau_score,avg_daily_balance,txn_count_3m,loan_amount,loan_term,purpose,household_size,label
50,5,27535,60818,0.22370399207311478,0,0,644,20632,51,100000,60,personal,2,1
53,0,43237,118359,0.335660532362873,1,0,546,87109,51,50000,60,home,4,1
21,4,24642,101536,0.29072777304280967,1,1,688,64061,63,50000,12,car,1,1
55,6,45916,33160,0.16156837234204385,0,1,609,17307,55,50000,12,home,5,1
60,5,17042,0,0.222569178989651,0,1,680,0,56,200000,12,business,2,1
53,6,41305,12106,0.38650074690574804,0,0,734,1417,52,200000,36,personal,4,1
31,4,44896,33722,0.058807004386777106,0,0,662,37651,52,500000,12,personal,2,1
29,8,63897,29551,0.1351692568264888,0,2,548,5220,46,50000,12,car,4,1
45,0,5000,56454,0.4031428760153231,0,0,668,30262,56,50000,24,personal,1,1
48,1,19905,55955,0.19447586331014416,0,0,785,35185,58,100000,36,home,2,1
48,3,5000,35738,0.2888732140600551,1,0,638,43637,59,100000,36,car,5,0
57,8,47507,7869,0.23035242096722994,1,1,585,4016,61,50000,36,personal,3,1
68,5,21233,86961,0.36855977791634126,0,0,601,84683,48,100000,60,car,4,1
66,2,19985,45142,0.8851904235489054,0,0,589,12873,61,200000,24,home,5,1
62,0,48277,130222,0.3461702225899267,0,0,708,179729,48,100000,60,home,4,1
49,4,17139,18062,0.5750166974818236,0,0,655,7241,52,100000,12,car,2,1
29,3,43637,57193,0.26979676934800106,0,1,758,27510,52,50000,36,education,5,1
69,8,42665,0,0.26526006970231497,0,1,558,0,65,200000,36,education,2,1
41,0,35807,64301,0.1929723660534427,0,0,592,47402,50,200000,60,car,4,0
43,8,37196,32410,0.45836380319932735,1,0,654,45850,47,100000,12,business,1,1
36,3,61800,113182,0.21042954133235803,0,0,601,17988,48,200000,60,car,2,1
26,7,52473,58304,0.30458769033314487,0,0,642,8828,57,50000,12,car,4,1
69,3,22396,81836,0.48908570378434096,0,0,687,74644,39,100000,60,personal,1,1
45,4,27241,54189,0.10118592477497042,0,0,691,11194,58,100000,12,car,2,1
23,8,23022,0,0.27831585546279125,1,0,716,0,54,200000,24,business,5,1
50,2,63509,63724,0.1966772631066954,0,0,636,31650,58,50000,12,personal,4,1
40,3,42911,92945,0.2746946028732181,0,3,707,26221,56,50000,24,car,3,1
66,10,50174,48078,0.447306416983693,0,0,675,62516,49,100000,24,home,5,1
55,5,36558,88020,0.1881015993843108,0,1,677,24975,52,100000,24,education,4,1
68,0,28887,49428,0.053772034399627494,0,0,639,38154,52,200000,12,business,1,1
28,7,52690,37065,0.3325517467361681,1,0,581,31428,60,200000,24,home,2,1
54,6,41526,39038,0.2221999849214308,0,2,681,30377,53,100000,24,home,3,1
61,4,21782,76011,0.27995544045060533,0,1,624,53748,33,50000,36,personal,1,1
55,4,33815,0,0.38305853241533516,0,1,702,0,51,100000,24,personal,2,1
56,0,31408,82019,0.18099368518995046,0,0,732,112583,42,1000000,36,personal,5,0
67,2,63133,122179,0.1494235026097835,0,1,753,80066,44,500000,24,home,5,1
30,2,46362,137590,0.13642218470992423,0,0,571,116527,56,100000,36,business,3,1
22,3,35175,31959,0.3348030046193618,0,0,752,20975,50,50000,12,home,5,1
59,7,5000,133534,0.33839579429947614,2,0,688,139094,49,50000,24,education,2,1
38,4,54444,62304,0.19305261131398407,0,0,584,63034,40,1000000,24,education,1,1
61,4,32384,62095,0.16011010465798756,1,0,696,81745,47,200000,12,education,4,1
39,11,25129,0,0.2920487185984639,0,0,608,0,59,100000,12,personal,2,1
45,0,15319,90902,0.5341189283229659,2,0,684,34005,61,500000,36,business,5,0
34,4,14605,46066,0.2052622268743936,0,0,590,31277,40,200000,24,personal,1,1
62,2,37744,31534,0.41079849696778775,0,0,785,10869,47,200000,12,home,3,1
39,7,46533,85690,0.2877712044868488,0,0,645,72793,42,50000,36,car,2,1
29,9,14720,62575,0.3465965749769681,0,0,748,93096,41,200000,24,personal,4,1
26,1,31201,42098,0.15453396752178175,0,1,530,23836,53,200000,24,business,4,1
56,5,45669,22960,0.23531325815122114,0,1,631,14591,56,200000,60,home,1,1
54,12,29769,3020,0.12601145606054387,0,0,676,2731,51,100000,12,home,2,1
65,7,35645,60695,0.3668402157116806,0,0,635,35478,57,500000,60,education,5,1
26,4,34424,10307,0.3351620231877905,0,0,666,4148,52,50000,36,personal,3,1
54,2,39060,27454,0.255820007396086,0,0,631,41054,57,100000,60,business,4,1
57,7,38072,89574,0.29886020484924836,0,1,615,11364,45,50000,36,personal,1,0
33,4,48689,54783,0.2163125701369412,0,0,647,34307,48,200000,12,education,1,1
61,2,30915,123040,0.4228950555098883,0,0,694,121974,52,100000,36,personal,4,1
21,3,38862,93722,0.3500705088529758,0,3,617,55931,48,200000,60,home,4,1
60,5,18672,110053,0.2364619685412546,0,0,611,161993,52,200000,60,business,2,1
31,2,43025,84408,0.05,0,0,604,9943,46,100000,36,home,5,1
28,9,45587,113964,0.532510938127599,0,0,613,165382,50,100000,24,car,5,1
53,0,41176,122455,0.24484977084780038,0,0,690,54535,39,200000,36,education,2,1
47,6,32280,5591,0.19321942612217052,0,1,642,3118,41,500000,12,home,4,1
67,10,34005,58987,0.25459246016514475,0,0,604,71484,39,100000,24,car,5,1
24,11,39700,23339,0.34595956012784795,0,0,714,34419,43,100000,12,business,1,1
53,4,38173,110537,0.33994183664746846,0,1,684,74487,58,100000,60,personal,1,1
23,5,32083,80857,0.20681919982190633,0,1,638,62757,41,200000,24,car,1,1
40,2,45302,54860,0.18899000118604609,0,0,631,65140,36,50000,60,home,2,1
63,5,23034,0,0.12084615802601507,0,0,680,0,45,50000,60,education,3,1
32,4,27873,37389,0.24639626393630806,0,0,632,40790,51,100000,12,home,5,1
25,3,70150,120794,0.12224278883017338,0,0,606,145048,43,50000,36,business,4,1
41,5,25389,68379,0.4569410724063092,0,0,604,83263,47,100000,36,car,5,1
31,5,18425,86769,0.10883285452568063,1,0,682,27864,54,100000,36,personal,3,1
28,5,44469,80436,0.35552708514937215,1,1,645,118864,54,50000,24,home,3,1
47,3,44155,29040,0.1737673585155772,0,2,589,29398,46,200000,60,business,2,1
46,4,36416,35327,0.2913305263540643,0,0,709,26841,40,100000,60,business,1,1
40,6,32876,84851,0.22340662309631748,0,0,657,86075,56,200000,24,car,1,1
66,1,56606,45184,0.4557743244342818,1,0,644,58815,55,200000,60,car,4,1
56,3,36648,36027,0.2888520759798477,0,0,707,48608,43,50000,12,business,3,1
31,2,40540,63901,0.3402695562193733,0,0,680,44896,46,200000,12,car,2,1
41,3,58327,119983,0.09255223335503823,0,0,675,112893,55,200000,24,education,2,1
37,5,32956,42188,0.48413626242836943,0,0,494,32231,52,500000,12,car,4,0
41,2,18239,37329,0.19812771229732257,0,1,661,5283,54,100000,36,personal,1,1
60,0,16237,60685,0.25766884617882785,0,0,617,60136,34,50000,36,business,2,1
53,1,7722,21233,0.3313661986393661,0,0,660,22297,47,50000,24,car,1,1
59,6,49548,52334,0.16044777318539283,0,0,637,8438,40,100000,36,education,4,1
56,3,22095,86766,0.4968708651435693,0,2,697,53763,52,200000,36,home,4,0
57,3,41941,59106,0.05,0,0,729,75561,52,50000,12,personal,2,1
23,4,38468,66370,0.13498598483297378,0,0,644,89185,52,1000000,12,car,4,0
37,0,23098,2242,0.17182797703511085,0,0,665,1038,43,100000,60,personal,4,1
21,8,23908,59569,0.6717206726897923,3,1,767,22745,48,100000,60,car,3,1
54,5,66536,35529,0.2506998775714182,0,0,627,52347,50,100000,24,business,3,1
35,2,51131,57496,0.5711940317366725,0,0,726,44103,46,100000,36,car,5,1
33,7,51837,53160,0.3194719259798509,0,0,679,64363,47,50000,12,personal,4,1
56,7,30711,62524,0.5782031276797471,0,0,776,56762,54,50000,24,home,1,1
54,6,54063,0,0.11237906615592676,0,1,612,0,44,1000000,12,car,5,1
51,3,40119,90148,0.7270594617081063,0,0,700,110480,51,50000,36,home,4,1
51,2,33860,29036,0.3522825002763409,0,0,650,37023,55,50000,12,car,3,1
24,5,43938,57743,0.40865508401289674,0,0,503,56922,54,50000,12,car,5,1
57,5,42959,25293,0.2544473563510379,2,0,658,17852,49,100000,60,education,4,1
57,5,44901,62018,0.4992713511087687,0,0,556,18062,53,100000,60,business,5,1
48,2,49575,36855,0.5853971660821643,0,0,657,21091,48,100000,12,business,4,1
56,4,38363,30456,0.1307255049684443,0,1,638,18725,43,100000,12,education,2,1
27,1,17987,56590,0.2165824791436827,0,0,690,10863,44,100000,36,business,4,1
35,5,62054,63017,0.46867288888926123,0,0,704,20759,53,500000,24,business,1,1
67,5,34253,67984,0.5065437303950906,0,2,606,95186,56,50000,36,car,5,1
64,4,46717,64843,0.24186035554657753,0,0,659,23742,56,100000,60,business,1,1
63,2,47086,109364,0.2612390847681941,0,0,637,60187,58,50000,12,car,1,1
65,4,34624,24098,0.39717268660938093,0,0,735,33394,66,100000,24,personal,4,1
49,0,53388,1553,0.573109976528005,0,0,651,2039,52,100000,36,business,2,1
27,5,37163,86866,0.14693297851468706,0,0,703,33869,37,500000,12,education,3,1
67,6,46064,99431,0.1788661409430853,0,0,675,69136,31,200000,12,personal,1,1
30,3,31268,26478,0.27932965311155766,0,0,698,18066,56,500000,12,education,3,1
34,3,27639,78214,0.1812143496890169,0,0,587,37278,50,200000,24,education,1,0
45,7,42580,7627,0.2814857621010975,0,0,633,2098,58,50000,12,personal,1,1
33,6,23292,79494,0.684216630496761,0,0,679,108843,40,200000,24,personal,4,1
26,13,47509,51990,0.33142081736460266,0,1,590,68180,42,100000,60,car,1,1
57,4,32943,51082,0.3176912028370027,0,0,624,34547,64,500000,12,car,1,1
39,0,32344,58469,0.30913679007059297,0,0,690,55051,64,50000,24,personal,2,1
37,5,25910,51754,0.48727481855422344,0,0,672,42619,55,100000,24,home,3,1
67,6,38749,57427,0.3825950380026899,0,0,721,54785,46,100000,12,business,1,1
39,4,44151,116572,0.39965343092308,0,0,647,167935,48,50000,60,education,2,1
55,4,45255,61914,0.24828443182744844,0,0,558,62879,57,500000,60,education,1,0
23,7,46904,0,0.05,0,0,705,0,50,1000000,60,car,2,0
37,5,51497,0,0.2780524894931722,0,0,693,0,54,100000,60,car,5,1
42,9,46983,103714,0.4856471678588229,0,0,708,12040,48,50000,12,personal,1,1
30,7,48196,104376,0.23645445787711192,0,1,696,137952,58,200000,12,business,2,1
36,2,55973,0,0.0844887841161119,0,1,773,0,54,200000,36,personal,1,1
60,5,56811,22947,0.5332209737639837,1,0,543,22682,52,50000,36,car,4,1
29,5,16210,0,0.49440099281191735,0,0,669,0,40,50000,12,home,1,1
27,5,33625,93699,0.3187103605421506,0,0,730,125544,44,500000,24,business,1,1
42,5,39203,98942,0.5057043261192389,1,1,638,121199,61,50000,24,business,1,1
60,3,43169,98003,0.2908221968247327,0,0,608,60507,49,200000,36,car,3,1
29,5,44028,110520,0.42753955977034724,0,0,714,125899,42,500000,12,home,1,1
36,6,61625,81365,0.4310527559366463,0,0,673,31175,46,50000,24,business,2,1
37,5,24395,59616,0.05,0,0,795,50090,58,100000,36,business,2,1
24,6,45248,48885,0.2972472265257576,0,0,616,65694,58,500000,60,education,3,0
60,3,64492,23220,0.2523909139794611,0,2,703,24240,51,100000,36,business,3,1
31,3,24523,94534,0.3918633310451199,0,0,610,93933,55,50000,12,business,3,1
43,6,8499,75020,0.40581307228094254,0,0,610,106406,42,200000,36,education,1,1
21,2,58463,117400,0.453926342225047,0,0,743,149499,51,100000,12,home,5,1
69,6,36932,120219,0.5967977316067951,1,1,641,47573,43,100000,36,education,3,1
37,3,44329,52991,0.4580427652267897,0,2,610,20937,44,100000,24,business,5,1
40,4,47191,84980,0.25548216832186044,0,0,604,88684,36,200000,36,home,2,1
66,7,34605,62044,0.12641447673345535,0,0,645,32824,57,100000,12,personal,1,1
68,5,40314,6836,0.33530506020491263,1,0,587,5686,49,100000,24,car,4,1
38,3,45602,21648,0.3250032434528758,0,1,730,31569,63,100000,36,business,5,1
65,2,52706,42146,0.29402420798969375,0,0,724,38037,50,100000,60,personal,5,1
62,6,58434,24507,0.4149412900787617,1,0,634,12450,43,500000,36,personal,1,1
22,7,41199,114471,0.30148069381119175,0,0,576,118826,49,50000,60,business,1,1
29,4,44309,48179,0.1837946555392244,0,0,596,58875,48,50000,12,education,2,1
43,10,37020,75318,0.53458103331384,0,0,590,38509,52,50000,60,home,5,1
24,7,36320,27592,0.10936584412627043,0,0,684,8254,46,50000,60,education,4,1
24,1,32821,32776,0.5069481839595481,0,1,665,15806,42,50000,36,education,3,1
32,3,48630,79083,0.42401617449819384,0,0,710,88699,64,500000,60,personal,5,0
35,5,51636,104882,0.05,0,0,595,138677,50,100000,24,education,4,1
69,4,35401,40346,0.36758090180690906,0,1,635,43557,52,50000,36,home,5,1
48,6,39010,68026,0.21166532494841864,0,0,565,61814,47,200000,24,car,5,1
36,8,32220,6877,0.31714000351717486,0,0,480,8470,58,100000,12,car,4,1
46,10,37363,66330,0.5371244049143195,1,1,654,78468,53,200000,24,business,5,1
37,9,34648,143331,0.6323371467024907,0,1,593,58496,50,50000,60,car,1,1
27,3,60556,107178,0.5509393642216941,0,0,632,135698,51,100000,60,personal,2,1
38,5,15810,69976,0.20994031789985934,0,0,709,38772,44,500000,60,car,1,1
31,3,62278,40332,0.05,0,1,701,47866,41,100000,24,home,1,1
66,2,36628,4693,0.27026839286515353,0,0,628,728,51,50000,24,education,4,1
62,2,14031,109797,0.23216200310608365,0,1,612,76481,44,200000,12,home,4,1
48,5,32441,9695,0.09417046438929635,0,0,672,10386,51,50000,12,car,4,1
56,6,25155,40243,0.3637266472122341,0,0,574,10904,40,500000,36,education,4,0
29,2,41653,55142,0.19064696056953812,0,0,472,64314,50,1000000,60,home,3,0
44,0,57169,58388,0.34830131852010165,0,1,592,68402,44,50000,24,car,2,1
63,1,34840,48891,0.1386816436151975,0,0,573,19422,40,50000,60,home,2,0
29,10,35248,49096,0.26420750985803015,0,0,617,50537,70,500000,60,business,5,0
59,2,40007,57852,0.16239199135982926,0,0,696,48344,54,200000,12,personal,4,1
43,10,49789,4492,0.2841332851910854,0,0,531,1295,39,500000,24,personal,5,1
47,9,30145,34897,0.4096817914884786,0,0,731,45073,67,100000,24,education,2,1
45,9,33454,0,0.16339134650199835,0,0,530,0,59,200000,12,car,4,1
55,2,45184,0,0.3231572889399492,0,0,639,0,57,50000,60,home,2,1
63,2,53821,19843,0.3688094764446251,0,0,672,16519,45,100000,12,home,4,1
21,5,46167,22027,0.2786775747241998,2,1,663,32008,54,100000,12,personal,2,1
46,5,37881,103611,0.3371268299023119,1,1,740,76715,48,100000,36,education,2,1
69,4,22070,108037,0.6299937822486718,0,0,628,42389,35,100000,12,personal,3,1
56,3,27756,53125,0.37973287476095796,0,0,768,11308,64,100000,60,car,2,1
64,4,50272,11390,0.25896078625252467,0,0,552,7878,60,200000,24,car,1,1
35,0,35546,52754,0.38549073797739675,0,0,567,24808,50,50000,36,home,1,1
41,6,38531,140897,0.29293636127349476,0,0,766,164732,50,200000,36,personal,3,1
48,3,48324,0,0.45922553012048406,0,0,636,0,51,1000000,12,business,5,0
27,5,19949,33527,0.3330825566289015,0,0,699,9139,50,100000,36,personal,3,1
48,3,23297,120806,0.05,0,0,656,135317,46,50000,12,business,2,1
67,6,19804,36941,0.07663411383138956,0,0,590,39239,50,200000,24,car,2,1
53,7,46521,69017,0.129013966541977,0,0,592,19753,47,100000,36,personal,3,1
38,1,43953,152796,0.06760697122672259,0,1,601,71146,54,200000,24,personal,5,1
48,3,45200,150462,0.05,0,1,596,146844,51,100000,24,education,4,1
45,7,42772,100123,0.2920293462811669,0,0,661,37856,44,100000,24,personal,2,1
30,2,17662,53764,0.3062540027796914,0,0,643,47872,53,500000,24,personal,2,1
51,6,26177,34340,0.4573484414645341,0,0,586,36148,63,200000,12,personal,2,1
45,7,33326,13865,0.21332586409955157,0,0,611,13733,48,100000,24,education,4,1
35,6,44002,36435,0.5097119699617174,0,0,580,16321,46,500000,36,personal,5,1
56,6,46671,16973,0.2534876705014084,0,0,628,20763,59,1000000,12,car,3,0
40,7,29435,19593,0.18098404121982847,1,1,729,4377,43,200000,12,home,4,1
37,7,59130,43931,0.26737691911144035,0,0,702,49005,40,500000,36,car,2,1
56,7,24428,88348,0.3092698467217782,1,0,670,15781,45,50000,24,personal,5,1
47,4,37278,45746,0.2605129905919696,0,0,679,31407,49,200000,12,home,1,1
59,3,50211,18122,0.3873634143713378,0,1,672,7694,54,50000,36,car,3,1
52,2,51629,61321,0.225252901863147,0,0,601,44953,55,200000,12,home,3,1
24,3,39847,61854,0.5057922203484296,0,0,564,77095,46,50000,12,education,1,1
44,0,42396,22899,0.33872793021938713,0,0,529,19506,58,200000,24,education,1,1
64,7,65647,43251,0.35080347381715193,0,1,653,34825,56,100000,24,home,2,1
37,9,40244,81615,0.5656697298871071,0,0,655,39467,47,50000,60,car,1,1
53,10,75702,56446,0.05,0,1,776,78668,57,200000,24,home,2,1
37,6,46906,47086,0.22177436852089702,0,1,642,35857,47,100000,12,business,2,1
53,6,50614,21926,0.38412714809317056,0,1,663,9730,57,50000,24,home,3,1
49,0,63178,146568,0.2292671809594031,0,1,707,24835,45,50000,36,home,4,1
46,0,26645,47436,0.27937458926883524,0,1,634,33545,58,200000,12,business,5,1
45,9,65036,12297,0.5420921619487423,0,1,610,14117,50,1000000,12,home,3,1
22,2,5000,52390,0.4484330445189785,0,0,553,8118,53,100000,60,business,3,0
60,7,12093,84569,0.16824684657824515,0,1,614,109632,47,50000,60,car,5,0
31,7,31866,82927,0.41695914649903454,0,1,606,116100,55,100000,24,business,4,1
30,2,30876,64524,0.5588081723112803,0,0,670,72181,62,100000,60,personal,3,1
31,9,64609,176082,0.21081035247807542,0,0,655,125149,53,100000,12,business,2,1
46,2,8832,37188,0.46729501974343024,2,0,567,28891,48,50000,60,business,2,0
47,7,31968,56584,0.29939027755026615,0,0,729,49031,65,50000,12,home,4,1
38,0,21470,5113,0.29986651621110877,2,2,586,5026,49,200000,24,education,4,1
44,2,37019,57322,0.10574954096256348,0,0,623,66062,61,100000,12,business,2,1
43,7,61932,67945,0.437257999348611,0,0,590,93244,56,100000,60,business,5,1
26,0,37826,32162,0.4148190095454623,0,0,643,12380,56,100000,12,home,1,1
48,5,37302,56471,0.2515816126212466,0,0,711,79125,43,200000,12,personal,3,1
30,9,53292,47494,0.21426899793957319,1,0,638,26440,56,200000,12,home,4,1
59,0,28129,63577,0.4416561015305329,0,0,688,29180,63,200000,36,car,3,0
54,4,57238,72223,0.05,0,1,644,94546,40,200000,60,home,5,1
37,0,57192,46080,0.17054890557316346,0,0,614,26073,64,1000000,24,education,5,0
59,4,54635,11113,0.46972578394562786,0,0,671,1533,56,200000,12,personal,3,1
30,12,53444,50846,0.15391052617174655,1,0,708,23786,49,1000000,36,education,1,1
65,5,30605,69762,0.05,2,1,634,62729,61,200000,36,home,2,1
56,3,28105,77498,0.36456716665249345,0,0,618,39802,39,50000,24,car,3,1
43,0,22308,107403,0.1866914253411007,0,0,731,44479,50,50000,24,business,2,1
69,8,55855,57951,0.43785260861389774,0,0,627,84227,67,100000,60,business,1,1
48,5,10067,5150,0.6106360917149286,0,0,576,1901,48,100000,24,education,4,1
59,8,33135,57427,0.42300336866059046,0,1,623,82386,37,100000,36,personal,2,1
24,5,32686,86367,0.15121117518122476,1,1,635,62370,46,100000,60,business,1,1
34,6,31646,23598,0.1258162309074337,0,0,665,34865,61,50000,12,personal,5,1
32,0,66994,0,0.05,0,0,658,0,46,50000,60,education,2,1
27,0,33884,0,0.2654709676905489,1,0,618,0,56,200000,12,home,5,1
57,0,31809,6315,0.33503219005193885,0,1,676,4762,40,500000,12,business,5,1
58,3,57532,33504,0.21742948905377826,1,1,567,40363,52,1000000,36,car,1,0
41,0,24212,80092,0.5299565312514251,0,0,665,31854,39,100000,24,personal,1,1
51,0,19156,91636,0.15543495469131935,0,0,717,100932,45,50000,36,education,5,1
23,0,6542,59067,0.21831002672518068,1,0,559,51435,43,500000,36,personal,4,0
49,5,26826,53995,0.2138370644485639,0,0,718,6722,34,200000,12,education,1,1
47,7,60978,112295,0.4085094608132064,0,0,580,146212,43,200000,12,home,5,1
43,7,48593,90997,0.36254861693194274,0,0,689,36837,52,100000,60,home,3,1
44,7,40019,65816,0.1098276507730908,0,0,597,47858,45,100000,36,car,3,1
53,3,44399,20289,0.21648934915568346,0,0,615,6115,39,200000,60,car,3,1
65,3,56114,69856,0.45349560866773264,0,0,738,94121,51,1000000,12,home,4,1
53,4,51136,24496,0.32684536568190914,0,0,540,28586,55,50000,12,education,5,1
34,0,23647,75893,0.5343430282045993,1,2,644,12497,52,50000,60,education,1,0
34,2,23322,80226,0.2923021562102148,0,0,659,31968,56,100000,12,home,2,1
23,1,67308,27344,0.3176869727595872,0,0,658,29860,55,100000,12,car,5,1
44,3,60621,37395,0.3798447946288672,0,0,606,42273,46,50000,12,car,4,1
60,4,55547,27452,0.32086410566907325,0,0,631,18990,55,200000,36,home,4,1
25,0,67558,108876,0.16636563191374681,1,0,475,30805,45,500000,24,home,3,1
61,0,39481,0,0.20131896000228272,0,0,641,0,47,200000,12,home,5,1
22,4,35147,46764,0.14707467807411445,0,0,639,68368,39,50000,60,car,4,0
31,1,49980,18154,0.2281486544572726,0,1,575,5873,57,50000,36,home,2,1
21,3,48660,44853,0.5331892328891775,1,0,613,55042,58,1000000,36,car,1,0
22,12,57763,78913,0.5461357989736203,0,0,776,63486,56,50000,12,education,3,1
68,6,28136,51360,0.06650791854608931,2,0,746,14661,51,50000,60,personal,5,1
62,4,33896,28609,0.21200111448601708,0,0,614,31444,59,500000,24,personal,4,1
46,0,55441,81868,0.37078359547778,0,1,714,64690,49,200000,36,home,1,1
53,5,43816,75396,0.5776244255808373,0,0,631,80328,60,50000,36,education,5,1
37,6,39839,0,0.5229780414358215,0,0,710,0,62,100000,12,home,2,1
51,6,35807,43667,0.18619150975671978,0,0,638,44647,54,50000,36,car,3,1
56,6,31362,63618,0.42256503783312405,0,0,740,68652,40,100000,60,home,3,1
28,5,45894,51889,0.07815344676573502,0,0,658,9758,43,200000,36,car,5,1
43,2,19522,21578,0.26515136360472646,0,0,659,19123,42,100000,36,personal,1,1
34,4,29779,88713,0.2847092354485523,0,0,687,34866,37,100000,24,car,2,1
55,0,37366,76317,0.5564087408370454,0,0,698,63211,51,200000,36,business,4,1
58,0,41689,84263,0.3100513637485133,0,2,655,95782,56,50000,24,education,4,1
34,4,27136,29915,0.08300636248250873,0,1,518,8037,58,1000000,36,home,4,0
50,0,57966,99788,0.47066064593221146,0,0,658,122280,50,100000,24,personal,1,1
28,4,47546,37250,0.09059075768281022,0,0,626,41510,46,100000,36,car,1,1
57,1,17919,0,0.4577700442782343,0,0,667,0,52,50000,60,car,1,1
33,0,50248,45407,0.31837631807484157,0,1,756,16614,49,50000,12,business,3,1
27,6,63974,79341,0.2868506874051624,1,1,690,82756,36,50000,12,personal,2,1
48,6,57799,21373,0.4006667399148527,0,0,677,23624,35,50000,36,education,3,1
58,0,43832,50173,0.43727747415604185,0,0,639,44453,58,500000,12,education,3,1
49,6,41378,61912,0.762504716330312,0,0,606,22618,40,500000,60,education,2,0
64,7,29607,47821,0.3722762530151804,0,0,745,67800,60,200000,36,business,5,1
43,0,43322,53457,0.2026741578364873,0,2,680,29316,61,200000,36,car,4,1
64,2,68440,45033,0.14542404863501152,0,0,734,38993,53,200000,60,business,5,1
60,3,78090,48404,0.148412812386163,0,0,536,32679,41,50000,36,home,1,1
27,6,35894,49429,0.2767040251454806,0,1,652,21059,58,1000000,36,home,4,1
31,6,39472,75268,0.33979302698750413,1,0,661,19698,46,500000,36,car,5,1
24,4,47771,28831,0.1434250724263136,0,0,666,26522,55,50000,12,business,5,1
46,2,23079,62395,0.057289016424897005,0,0,590,55341,60,200000,60,business,5,1
45,0,49686,60149,0.18430797693022477,0,0,605,20937,54,100000,36,business,4,1
64,5,51561,145268,0.3781985692576424,0,0,733,205001,46,200000,12,personal,1,1
44,3,16590,122820,0.25423700369549274,0,2,637,140089,49,100000,12,home,1,1
44,11,26689,27068,0.06089896189574124,0,0,567,12676,55,500000,24,home,2,0
60,3,49494,152309,0.1980233577837585,0,1,727,74753,53,50000,60,personal,5,1
44,6,34520,163635,0.39630778704742564,0,1,580,81321,45,200000,12,personal,2,1
59,2,56367,38370,0.12542799225665868,0,0,563,10844,54,100000,60,education,3,1
57,5,47323,53125,0.19057856175542517,0,0,629,6131,48,200000,12,education,5,1
59,2,42975,49632,0.1737466663421529,0,0,617,5062,49,100000,36,education,4,1
69,9,63399,138961,0.6889752070800333,0,1,691,131285,57,50000,36,home,2,1
59,3,72446,95782,0.31049234417056226,1,0,545,26334,40,100000,60,personal,3,1
